pid,sentence1,sentence2,label
4665,do you accept broadband bills,Broadband bill,1
26465,I am getting better fare for this flight,Check flight rate,0
57679,Flight from delhi to srinagar,check price for flight from mumbai to pune,1
22043,Availability of food,food available for guest,1
6522,This is my ID only,Can't find order ID.,0
17,quiz conditions,Conditions,0
29824,Recharge offers,Prepaid recharge offers,1
42313,Activate for iphone,How to activate for my iphone,1
71092,I need your help,I want your mobile number,0
8007,another story,send another story,1
9778,want reminder for phone,want reminder for,0
6510,Do you have any other option to get the reports,I haven't got my reports,0
40069,Stop sending jokes daily,Pls send me jokes,0
16145,features of WAAC,What are the key features of WAAC,1
57160,latest version of the app,latest version,1
15416,Is there any cashback,any discount for dinner?,0
33934,But it was told to me that I will get the sms,Doctr has told me to do vitamin b12 test,0
47179,check available resorts,check availability by zone,0
28310,Sry bt i want to check my PNR status,Check flight pnr status,0
27636,delhi to kolkata,Book me a night ticket to Delhi tomorrow,0
21805,When will I receive the air tickets for my Group Tour?,Can we web check-in after receiving the air tickets for our group tour?,0
61750,tell me about discount deal on flight ticket,what are offers on flight booking,0
30858,Help me with the Premium for Criticare,Help me with the Premium for GCAP,0
63446,remind me to wish my birthday,wish my birthday,1
36043,i want offer on flight booking.,want to purchase Flight Tickets,0
60627,things I should and should not do if I have Dry Mouth?,Problems related to dry mouth,0
51021,Share the Key Features of GCAP,what are the key features,0
8192,any cashback on flight booking,Book flight,0
17405,i want offer on flight tickets,Can u email me flight tickets,0
24840,remind me for jog,call to remind jog,1
46506,Is there any online option to link bank to trading account?,link a bank account,0
3828,Is this offer on airtel postpaid also,Is there any offer for airtel,1
19562,I want to book flight tickets for ID-E-MILAD,I want to book home collection,0
38179,edit items in my cart,I want to see items in my cart,0
54752,how much time it will take,how much time needed to process payout,0
37481,check availability,check availability by zone,0
28894,I wanted to check my report online,i want to check in,0
16549,modify my reminder,Can you help me edit my reminders,1
17591,want reminder for drink water,can you list my reminder,0
43953,tell me about discount deal on flights,what about cb,1
