pid,sentence1,sentence2
54615,As an investor how do I avail benefit with respect to Stamp Duty?,Stamp Duty
53768,cash back nahi aaya,Muje cash back nahi mila
26567,LPG Storage Sytem Warranty,Is there any license required for LPG storage system?
4028,i want discount on flight tickets,I want discounts on train booking
5145,nearby bus stop,bus stop
24976,want reminder for anniversary,No need of reminder
31364,Any cash back offers for paying electricity bills,I need   to pay electricity bill
64467,remove more,remove more items
74779,Mahadiscom light bill,Rajasthan light bill
59916,How do I generate Trading password?,reset trading password
1473,Hey can you tell me about the phonepe cash back .,I didnt receive any cash back
9260,I dont have visit id number,Where to type the lab visit ID
41018,Plz list out flights options,need flights from mumbai to pune
63838,Bro my ola is not working and so does uber,Please i want an uber not ola
14506,want reminder for anniversary,list my reminder
6768,refund,When will refund
35983,I would like to book a flight ticket,recommend me Flight Tickets
75772,any offers currently available on flight tickets,Is there any coupon code to reduce the fare of the flight
46732,i want to buy a wifi package,Steps to buy
39742,Need to access the wifi,I try to accesss but it cannot
7298,calculate premium for WAAC,Need your help to know the Premium for WAAC
69918,suggest me close by bus stop,suggest me close by pharmacy
8180,I am not able to pull status of report.,I am not able to pull my report
7475,VISA and insurance,Information on VISA and insurance
40221,i turn off my mobile data then you call me,Can u plz turn off the alarm for few days
64426,Can you book,I want to book a cab
40850,need flight baggage details,give me flight fare alerts
9104,Impossible to use,impossible to make booking
32000,Easy to book,it was very easy to login
24068,any offer on flight booking,Do u have any promocode
9464,I will give already 72 hours,48 hours ho gaye
24510,Want to know about my profile acceptance.,Want to know about the Company
26106,Send me your pic,can u give me ur number
61616,where to login for VLE,ways to login
36539,Give me the information about Survival Benefits for Saral Nivesh,Help me with Survival Benefits of saral nivesh
37857,Price is very high,Too high
12177,prepare a reminder jog,set a reminder exercise
25789,Need your help to know the Premium for WAAC,how much is the premium for WAAC
22084,Any Cash back offer,Phone pay cash back applicable
44782,Do you guys do hotel bookings,Hotel bookings
13866,important features of total secure,Tell me the key features of Total Secure
801,What is Survival benefits?,Survival Benefit
31445,You price are higher than happy easy go site,But your price is higher
11300,It should be ready,is result ready
285,What content added to identify the leakage?,How to identify the delivery boy
42112,prepare a reminder drink water,schedule a reminder drink water
61336,I am a legal heir of my father who is no more. How do I transfer his LPG connection to me?,Can I transfer the LPG connection to my friend / relatives ? If yes what is the procedure ?
57230,Want to book flight from Mumbai to Delhi,Book me a flight
53487,I got no sim card,didnt get password
4366,Hi Please help me with flight bookings .,"Hi, I want to book a flight ticket using the cashback offer ."
25092,I don't want to talk to you,I don't want to speak with you
45535,Working,its not working
18381,I will get 100% cahback on all items,get 50rs return
