Text,Summary
"This oatmeal is not good. Its mushy, soft, I don't like it. Quaker Oats is the way to go.",Don't like it
"Buyer Beware Please! This sweetener is not for everybody.  Maltitol is an alcohol sugar and can be undigestible in the body.  You will know a short time after consuming it if you are one of the unsuspecting many who cannot digest it by the extreme intestinal bloating and cramping and massive amounts of gas a person can experience. Nausea, diarrhea & headaches can also be experienced. I learned my lesson the hard way years ago when I fell in love with the sugar-free chocolates suzanne sommers used to sell.  I thought I'd found sugar-free chocolate nirvana at first taste but the bliss was short lived when the terrible side effects of maltitol kicked in.  The discomfort was unlike anything I had ever felt before.  I blew up like a balloon and had very painful abdominal cramping.  As the symptoms passed, this too was very unpleasant.  Though hard for me to believe a low calorie sweetener could be the culprit, all symptoms were gone when I stopped eating the chocolate. My hunch it had something to do with the maltitol were unfortunately confirmed for me about a year later when I purchased some delicious sugar-free popcorn at my local market.  The taste was amazing and while I was looking at the label wondering what could possibly make this yummy, new sugarfree treat taste so good, my heart sank when I followed the little asterisk next to sugarfree sweetener* down to the very bottom of the label and read ""maltitol"" in tiny little letters! Thank goodness I'd eaten only a little. I still ended up with all the same side-effects but for a much shorter duration. Some people can use maltitol to their heart's content but others, like me, can have a bad reaction to it. In case you're like me, ... it's not you ...it's the maltitol!",Warning!  WARNING!  -ALCOHOL SUGARS!
"Five minutes in, one tentacle was bitten off, ball inside cracked in half. Not durable enough to be a dog toy. Disappointed :(. So is the dog :(.",Sad outcome
"Kettle chips now look, feel and taste like Lays.  These chips used to be my favorite when it was crinkle cut and hefty.  Now, no longer my favorite.",Surprise 1  It's different...
"These chips are greasy and taste burnt-there is grease in the bottom of the bag and the chips are saturated with it (especially at the bottom of the bag. Even if they are trans fat free, they need to be a lot less greasy.",Chips
"For those of you who, like me, had to order the Kettle Spicy Thai chips from Amazon because they are so hard to find locally, you will probably be aggrieved to know that the recipe has changed.  They are just like regular potatoe chips.  I paid for them but now my husband gets to eat them because he didn't like the spicy thai, but these are fine for him.<br /><br />Yuck!!!",what happened? the recipe has changed
"OMG I would love these cookies except for the chocolate mixed in makes it taste medicinal. DEGUSTING isn't even a strong enough word. A horrible horrible mistake...an expensive mistake....they advertised it as peanut butter cookies which is why I bought them since everyone else had peanut butter chocolate cookies when I just wanted plan peanut butter cookies....however when I received them I found out they were the chocolate peanut butter ones but I thought okay I'll try them and omg I almost threw up from the taste. HORRIBLE, HORRIBLE, DISGUTINGLY, MEDICINAL TASTE. DO NOT BUY!!! If they had a zero before the stars I would rate it a zero instead of 1 star.",OMG DO NOT BUY!!!
Where's the ingredient list for this product?  Thought all foods were supposed to have it.  Would never buy any food without first knowing what's in it!,What?  No ingredient list?
"This was very pricey for what is essentially a small bag of hard crumbs.<br />Maybe my dog is just spoiled, but she treats these like third class treats- it is definitely on the bottom of the doggie treat hierarchy.  More often than not, she will simply walk away from these.  Glad other people like them, but I will not be buying them again.",Waste of money
"I ATE BEER NUTS ALL THROUGH MY CHILDHOOD YEARS AND INTO MY 20'S. AFTER THAT YOU COULDN'T BUY THEM IN UPSTATE NY. WHEN A GREAT FRIEND OF MINE SAID HE WAS LOOKING FOR THEM, I CHECKED OUT THE NET TO FIND THEM ON YOUR SITE.<br />THEY ARE HORRIBLE. WHAT A DISSAPOINTMENT. THEY TASTE MORE LIKE SPANISH PEANUTS WITH OUT THE SALT. THE BEER NUTS I REMEMBER WHERE SWEET AND SALTY, JUST LIKE THE LABEL SAYS. THESE PEANUTS ARE BLAND, BLAND, BLAND.",beer nuts
"i found this product doing a search for ""edible gold leaf."" i decided to purchase after reading rave reviews about food items that were created using it. HOWEVER.. it is clearly marked ""NOT to be consumed"" and ""for decorative use only."" so this is a misleading product.",not edible
"This coffee supposedly is premium, it tastes watery--very thin.  Not good at all.  Maybe old??<br />Not sure, it was a waste, and I'm using it line the bottom of my sitting shoes and trash cans and rained-on luggage, to absorb the smells.  So I used it, but not to drink.  Do not buy.",weak coffee not good for a premium product and price
how come you sent me instant choc.fudge pudding...<br />the order told you to send me the COOK & SERVE choc.fudge pudding....<br />you show the picture of it....<br />why couldn't send it to me....<br />it makes me wonder if I should order anything else from you....<br />pissed,cook & serve choc. fudge pudding
"I don't know why everyone loves these chips. They are healthy but taste disgusting. Only the original flavor tasted good, so getting the variety pack was a very bad idea. I would not buy this again and would rather go with baked chips than these. Pirate's Booty makes popped chips that are way better.",Weird flavors....
"I've been told that the refrigerator of the future will have herb/vegetable/salad bins inside to grow vegetables and I thought the Prepara Herb Savor Pod looked like the perfect precursor. Wrong. The detachable bottom comes loose continually and leaks water everywhere. Similarly, the plastic plug at the back does NOT hold. A good idea, a nice-looking product, but poorly executed. Refrain from purchasing -- plastic bags are MUCH, much better.",Caveat emptor! Disappointing
After reading a previous review I carefully inspected the cans when they arrived. The cans were immaculate and very clean so I felt relieved. After cooling in the fridge I ate the first can. The fruit was very mushy and not attractive to look at and frankly a disapointment but did not taste rotten per say. Only minutes later though my mouth felt like acid was eating at it and was very painful for hours even after washing out my mouth. I eat much canned and fresh fruit and this was a first for me. Only days later my teeth and gums were infected and I had to go to the dentist for the pain was so bad. He found infection and I had to undergo a treatment of antibiotics and painkillers before I was finally ok again after about 2 weeks. SHEESH! Needless to say I threw out the remaining cans of fruit! The problem must be at the source as the cans and packaging were 1st rate and shining clean. Quality control must really suck. I'm all for natural but great care must be taken so contamination is avoided. This is a foreign product and their health standards may be lacking there. I would stay far away from this stuff if you value your health!,Not Safe!
"I ordered this because I have had the Donut Shop coffee before and really enjoyed it and wanted to taste some of the other flavors they offered.  After receiving my order of the ""sampler"" pack, I was very disappointed! Over half my order was decaf coffee and I only got 2 cups of the flavored coffee; which was the main reason I ordered it.  I love this coffee but am disappointed in the so called sampler pack or ""the lack of variety"" pack!",Disappointed!!
"I used to buy Bob's Red Mill Organic 7 Grain Pancake & Waffle, Whole Grain Mix until I saw all these rave reviews about StoneWall Kitchen Farmhouse Pancake and Waffle mix. I decided to order from Amazon and tried it this morning.<br /><br />This pancake mix is very fine and powdery. When I made my pancake mix, the mix was all over my kitchen floor. The mix is almost foamy like when it is done mixing. The waffle recipe from the label asks for 2 Tbsp. of melted butter, which I never use that much when I use the Rob's Red Mill pancake mix. I could only make two perfect 7"" round pancakes from it even though it claims the serving should be 3-4 pancakes. The pancake is indeed fluffy as others claimed in the review. However, I also tasted a lot of chemicals in it. I guess one reason it is so fluffy is a lot of baking soda in the ingredient. Looking at the ingredient label did I realize it has more chemicals than other brands. And I do not understand what ARTIFICIAL FLAVOR it has to be added in when this pancake mix is just the normal type with no fancy flavors like Cinnamon and Apple, etc.<br /><br />In short, I am going back to my Rob's Red Mill brand, at least I know what I am digesting in my stomach.",Disappointed with my first farmhouse pancake
"Thought I was ordering summer tea flavors, got leftover winter garbage. I will not buy from this seller again. I HATE iced coffee, much less gingerbread and eggnog flavors! I cannot believe I just spent that amount of money on crap that I will not ever drink. Should have waited until Walmart carried it! Does Keurig know this stuff is being sold under such false advertisements? Yes, I know it says flavors may be substituted. That would be fine if they were more teas. If I had wanted gross iced coffee flavors, I would have ordered such!<br /><br />On the up side, the peach tea I received was very good. Otherwise, don't waste your money!",VERY Unsatisfied
"I do not consider Gingerbread, Spicy Eggnog, Caramel Apple Cider, Spiced Apple Cider summer items.... You cleaned off your self at my expense!  VERY DISAPPOINTED!",Not Summer Items!
"I have a special needs pet and searched for the right food.  Since Amazon has been a five star resource I chose to have Pot Pie shipped. Many of the cans are dented.  So I have to toss them or return. This is a big hassle but would not ever feed a dented can to my beloved boy.  Best to purchase at the pet store, evidently.",CAUTION/DENTED CANS
ordered some from an amazon-fulfilled associate. Normal amazon shipping etc...The cigars were cracked and stale. How does chewing gum shatter and break? No way it was fit for consumption.<br />Easy return process.,stale cigars
"Of the 12 cans shipped 11 of them had very, very serious dents in them. I'm not talking dings, I talking serious dents.  So dented that I truly thought of throwing them away.  My husband stopped me though because at $5 a can he felt that it was too wasteful.  In my local grocery store, items this dented are put into a reduced price bin, because they usually don't move otherwise.<a href=""http://www.amazon.com/gp/product/B002C4HZ00"">Cento San Marzano Certified Tomatoes, 28-Ounce Cans (Pack of 12)</a>",Dented cans
"I bought this same brand from an online Indian grocery store that usually has excellent products.  I was able to turn it into cream/butter, using my super blender and adding some water, but it barely had any flavor.  I usually buy the Chao Kah brand of coconut cream (which is quite tasty and flavorful) and read another review for a different product for making your own coconut cream.  My complaint is not the shreds or texture.  Mine was just virtually tasteless.",Little Flavor
This iced tea is terrible. This is the first Stash product that I do not enjoy. It is not iced tea. It tastes more like powdered peppermint leaves.,Terrible
"The first ingredient in this mix, before the tea is even listed is maltodextrin.  If you suffer from a corn allergy, please do not forget to read the label & unwittingly drink this.  I have no idea why there is more maltodextrin in this product than the main product, the tea itself.  I realize this is not a review, let alone a ""helpful review"", as I did not describe the taste of the product or even review the product. I couldn't review this product, if I wanted too.  I want people with a corn allergy to be advised of the ingredients in the tea.  I didn't know how else to inform folks about the ingredients except for on the page with reviews.  I could not give the product more stars, as it contains more maltodextrin, than tea itself.","Beware, if you have a corn allergy!!"
"One perfect box. No rips, tears or gouges. Inside the box? 6 badly dented cans of chowder that looked like they fell out of an airplane. Every single can! Very disappointed. Should I return them all? Is the chowder any good? Was this a joke? I rate this 1 star...for the unblemished box.",Dropped from a plane?
"This stuff is pretty disgusting.  I don't care if Madonna, Tom Cruise or whatever celebrity invested in the company and carries a container of it around for photo opps, it tastes bad.  And as far as rehydrating better than water, umm, don't think so.  It might replenish potassium, although, unless you are participating in the Olympics, you probably are not going to risk a potassium deficiency from physical activity.",well ...
